Date,Component,Avg_Price
2021-02-13,2TB_NVME_GEN4,349.99
2021-02-14,2TB_NVME_GEN4,356.99
2021-02-15,2TB_NVME_GEN4,349.99
2021-02-16,2TB_NVME_GEN4,359.49
2021-02-17,2TB_NVME_GEN4,350.44
2021-02-18,2TB_NVME_GEN4,350.44
2021-02-19,2TB_NVME_GEN4,350.44
2021-02-20,2TB_NVME_GEN4,350.44
2021-02-21,2TB_NVME_GEN4,352.49
2021-02-22,2TB_NVME_GEN4,349.22
2021-02-23,2TB_NVME_GEN4,349.6
2021-02-24,2TB_NVME_GEN4,349.22
2021-02-25,2TB_NVME_GEN4,349.22
2021-02-26,2TB_NVME_GEN4,349.22
2021-02-27,2TB_NVME_GEN4,349.22
2021-02-28,2TB_NVME_GEN4,349.22
2021-03-01,2TB_NVME_GEN4,356.35
2021-03-02,2TB_NVME_GEN4,355.44
2021-03-03,2TB_NVME_GEN4,355.44
2021-03-04,2TB_NVME_GEN4,355.44
2021-03-05,2TB_NVME_GEN4,355.44
2021-03-06,2TB_NVME_GEN4,355.44
2021-03-07,2TB_NVME_GEN4,355.44
2021-03-08,2TB_NVME_GEN4,353.63
2021-03-09,2TB_NVME_GEN4,353.63
2021-03-10,2TB_NVME_GEN4,353.63
2021-03-11,2TB_NVME_GEN4,353.63
2021-03-12,2TB_NVME_GEN4,353.63
2021-03-13,2TB_NVME_GEN4,336.65
2021-03-14,2TB_NVME_GEN4,336.65
2021-03-15,2TB_NVME_GEN4,336.65
2021-03-16,2TB_NVME_GEN4,336.65
2021-03-17,2TB_NVME_GEN4,336.65
2021-03-18,2TB_NVME_GEN4,336.65
2021-03-19,2TB_NVME_GEN4,336.65
2021-03-20,2TB_NVME_GEN4,336.65
2021-03-21,2TB_NVME_GEN4,336.65
2021-03-22,2TB_NVME_GEN4,336.65
2021-03-23,2TB_NVME_GEN4,336.65
2021-03-24,2TB_NVME_GEN4,336.65
2021-03-25,2TB_NVME_GEN4,336.65
2021-03-26,2TB_NVME_GEN4,340.61
2021-03-27,2TB_NVME_GEN4,340.61
2021-03-28,2TB_NVME_GEN4,340.61
2021-03-29,2TB_NVME_GEN4,340.61
2021-03-30,2TB_NVME_GEN4,347.93
2021-03-31,2TB_NVME_GEN4,347.34
2021-04-01,2TB_NVME_GEN4,354.43
2021-04-02,2TB_NVME_GEN4,336.55
2021-04-03,2TB_NVME_GEN4,334.05
2021-04-04,2TB_NVME_GEN4,334.05
2021-04-05,2TB_NVME_GEN4,338.99
2021-04-06,2TB_NVME_GEN4,338.99
2021-04-07,2TB_NVME_GEN4,338.99
2021-04-08,2TB_NVME_GEN4,338.99
2021-04-09,2TB_NVME_GEN4,338.99
2021-04-10,2TB_NVME_GEN4,331.14
2021-04-11,2TB_NVME_GEN4,329.6
2021-04-12,2TB_NVME_GEN4,332.68
2021-04-13,2TB_NVME_GEN4,325.76
2021-04-14,2TB_NVME_GEN4,327.65
2021-04-15,2TB_NVME_GEN4,330.87
2021-04-16,2TB_NVME_GEN4,324.63
2021-04-17,2TB_NVME_GEN4,330.28
2021-04-18,2TB_NVME_GEN4,340.82
2021-04-19,2TB_NVME_GEN4,343.6
2021-04-20,2TB_NVME_GEN4,343.04
2021-04-21,2TB_NVME_GEN4,341.46
2021-04-22,2TB_NVME_GEN4,359.37
2021-04-23,2TB_NVME_GEN4,353.88
2021-04-24,2TB_NVME_GEN4,352.21
2021-04-25,2TB_NVME_GEN4,352.09
2021-04-26,2TB_NVME_GEN4,361.66
2021-04-27,2TB_NVME_GEN4,347.99
2021-04-28,2TB_NVME_GEN4,361.0
2021-04-29,2TB_NVME_GEN4,369.52
2021-04-30,2TB_NVME_GEN4,362.9
2021-05-01,2TB_NVME_GEN4,362.61
2021-05-02,2TB_NVME_GEN4,353.88
2021-05-03,2TB_NVME_GEN4,348.32
2021-05-04,2TB_NVME_GEN4,359.06
2021-05-05,2TB_NVME_GEN4,361.46
2021-05-06,2TB_NVME_GEN4,368.7
2021-05-07,2TB_NVME_GEN4,369.82
2021-05-08,2TB_NVME_GEN4,371.2
2021-05-09,2TB_NVME_GEN4,370.66
2021-05-10,2TB_NVME_GEN4,364.66
2021-05-11,2TB_NVME_GEN4,363.13
2021-05-12,2TB_NVME_GEN4,368.78
2021-05-13,2TB_NVME_GEN4,367.67
2021-05-14,2TB_NVME_GEN4,356.79
2021-05-15,2TB_NVME_GEN4,371.04
2021-05-16,2TB_NVME_GEN4,365.24
2021-05-17,2TB_NVME_GEN4,363.13
2021-05-18,2TB_NVME_GEN4,370.26
2021-05-19,2TB_NVME_GEN4,375.86
2021-05-20,2TB_NVME_GEN4,369.74
2021-05-21,2TB_NVME_GEN4,373.06
2021-05-22,2TB_NVME_GEN4,368.71
2021-05-23,2TB_NVME_GEN4,358.5
2021-05-24,2TB_NVME_GEN4,358.42
2021-05-25,2TB_NVME_GEN4,360.06
2021-05-26,2TB_NVME_GEN4,363.91
2021-05-27,2TB_NVME_GEN4,377.2
2021-05-28,2TB_NVME_GEN4,372.8
2021-05-29,2TB_NVME_GEN4,353.0
2021-05-30,2TB_NVME_GEN4,353.0
2021-05-31,2TB_NVME_GEN4,358.61
2021-06-01,2TB_NVME_GEN4,366.23
2021-06-02,2TB_NVME_GEN4,383.55
2021-06-03,2TB_NVME_GEN4,382.55
2021-06-04,2TB_NVME_GEN4,390.8
2021-06-05,2TB_NVME_GEN4,392.94
2021-06-06,2TB_NVME_GEN4,400.79
2021-06-07,2TB_NVME_GEN4,400.04
2021-06-08,2TB_NVME_GEN4,394.7
2021-06-09,2TB_NVME_GEN4,411.62
2021-06-10,2TB_NVME_GEN4,411.62
2021-06-11,2TB_NVME_GEN4,396.82
2021-06-12,2TB_NVME_GEN4,409.88
2021-06-13,2TB_NVME_GEN4,400.38
2021-06-14,2TB_NVME_GEN4,392.79
2021-06-15,2TB_NVME_GEN4,392.82
2021-06-16,2TB_NVME_GEN4,393.1
2021-06-17,2TB_NVME_GEN4,392.73
2021-06-18,2TB_NVME_GEN4,392.65
2021-06-19,2TB_NVME_GEN4,391.89
2021-06-20,2TB_NVME_GEN4,394.53
2021-06-21,2TB_NVME_GEN4,390.99
2021-06-22,2TB_NVME_GEN4,396.4
2021-06-23,2TB_NVME_GEN4,399.59
2021-06-24,2TB_NVME_GEN4,409.63
2021-06-25,2TB_NVME_GEN4,408.27
2021-06-26,2TB_NVME_GEN4,408.27
2021-06-27,2TB_NVME_GEN4,403.07
2021-06-28,2TB_NVME_GEN4,403.08
2021-06-29,2TB_NVME_GEN4,401.86
2021-06-30,2TB_NVME_GEN4,408.46
2021-07-01,2TB_NVME_GEN4,413.1
2021-07-02,2TB_NVME_GEN4,406.18
2021-07-03,2TB_NVME_GEN4,408.84
2021-07-04,2TB_NVME_GEN4,409.67
2021-07-05,2TB_NVME_GEN4,409.37
2021-07-06,2TB_NVME_GEN4,410.32
2021-07-07,2TB_NVME_GEN4,404.48
2021-07-08,2TB_NVME_GEN4,400.1
2021-07-09,2TB_NVME_GEN4,392.84
2021-07-10,2TB_NVME_GEN4,387.43
2021-07-11,2TB_NVME_GEN4,388.23
2021-07-12,2TB_NVME_GEN4,388.27
2021-07-13,2TB_NVME_GEN4,388.27
2021-07-14,2TB_NVME_GEN4,388.27
2021-07-15,2TB_NVME_GEN4,387.47
2021-07-16,2TB_NVME_GEN4,384.23
2021-07-17,2TB_NVME_GEN4,388.26
2021-07-18,2TB_NVME_GEN4,384.02
2021-07-19,2TB_NVME_GEN4,386.25
2021-07-20,2TB_NVME_GEN4,384.43
2021-07-21,2TB_NVME_GEN4,384.43
2021-07-22,2TB_NVME_GEN4,384.43
2021-07-23,2TB_NVME_GEN4,384.69
2021-07-24,2TB_NVME_GEN4,378.6
2021-07-25,2TB_NVME_GEN4,378.99
2021-07-26,2TB_NVME_GEN4,378.34
2021-07-27,2TB_NVME_GEN4,380.53
2021-07-28,2TB_NVME_GEN4,380.45
2021-07-29,2TB_NVME_GEN4,380.53
2021-07-30,2TB_NVME_GEN4,380.53
2021-07-31,2TB_NVME_GEN4,375.72
2021-08-01,2TB_NVME_GEN4,373.04
2021-08-02,2TB_NVME_GEN4,366.76
2021-08-03,2TB_NVME_GEN4,366.41
2021-08-04,2TB_NVME_GEN4,363.95
2021-08-05,2TB_NVME_GEN4,363.92
2021-08-06,2TB_NVME_GEN4,361.88
2021-08-07,2TB_NVME_GEN4,361.51
2021-08-08,2TB_NVME_GEN4,356.33
2021-08-09,2TB_NVME_GEN4,355.77
2021-08-10,2TB_NVME_GEN4,359.47
2021-08-11,2TB_NVME_GEN4,357.73
2021-08-12,2TB_NVME_GEN4,357.73
2021-08-13,2TB_NVME_GEN4,356.25
2021-08-14,2TB_NVME_GEN4,356.25
2021-08-15,2TB_NVME_GEN4,352.62
2021-08-16,2TB_NVME_GEN4,352.25
2021-08-17,2TB_NVME_GEN4,350.25
2021-08-18,2TB_NVME_GEN4,346.02
2021-08-19,2TB_NVME_GEN4,346.02
2021-08-20,2TB_NVME_GEN4,345.99
2021-08-21,2TB_NVME_GEN4,345.96
2021-08-22,2TB_NVME_GEN4,340.22
2021-08-23,2TB_NVME_GEN4,336.86
2021-08-24,2TB_NVME_GEN4,336.86
2021-08-25,2TB_NVME_GEN4,336.86
2021-08-26,2TB_NVME_GEN4,336.86
2021-08-27,2TB_NVME_GEN4,335.49
2021-08-28,2TB_NVME_GEN4,336.83
2021-08-29,2TB_NVME_GEN4,338.16
2021-08-30,2TB_NVME_GEN4,337.49
2021-08-31,2TB_NVME_GEN4,341.76
2021-09-01,2TB_NVME_GEN4,338.36
